category_id,category_level1,category_level2,category_level3,counts
1000009084,HYGIENE - BEAUTE - PARFUM,CAPILLAIRE,PINCE - BARRETTE - CHOUCHOU - ELASTIQUE,10708
1000014154,LIBRAIRIE,HISTOIRE - GEOGRAPHIE,HISTOIRE INTERNATIONALE,10583
1000010001,BAGAGERIE,ACCESSOIRES BAGAGE,PORTE-CLES - ETUI A CLE,10510
1000017771,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,CONSOMMABLE,FORET - MECHE,10469
1000014030,LIBRAIRIE,ARTS - CINEMA - MUSIQUE,BEAUX-ARTS,10374
1000014287,LIBRAIRIE,SCIENCES HUMAINES,SOCIOLOGIE,10257
1000001729,DECO - LINGE - LUMINAIRE,LINGE DE LIT,HOUSSE DE COUETTE ,10255
1000014152,LIBRAIRIE,HISTOIRE - GEOGRAPHIE,HISTOIRE DE FRANCE,10171
1000005958,AUTO - MOTO,PIECES,PISTON,10160
1000003593,ELECTROMENAGER,ENTRETIEN DES SOLS - MAISON,ACCESSOIRES ENTRETIEN - PIECES ENTRETIEN,10132
1000005986,AUTO - MOTO,PIECES,PROTEGE CADRE - CHAINE - DISQUE - FOURCHE - MAIN - MOTEUR - RADIATEUR,9981
1000010126,BIJOUX -  LUNETTES - MONTRES,BIJOUX,PARURE,9947
1000009950,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,SANITAIRE - PLOMBERIE,PIECE DETACHEE SANITAIRE PLOMBERIE,9895
1000014488,LOISIRS CREATIFS - BEAUX ARTS - PAPETERIE,PERLE - BIJOUX - BADGE,PERLE - ŒIL DE CHAT - FOSSILE - POLARIS - BRELOQUE - CABOCHON - DEMI-PERLE,9866
1000004016,INFORMATIQUE,CONNECTIQUE - ALIMENTATION,CABLE AUDIO VIDEO,9708
1000014347,LIBRAIRIE,LIVRE ENFANT - JEUNESSE,9 -12 ANS,9624
1000012585,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,ECRAN DE TELEPHONE,9620
1000015662,DECO - LINGE - LUMINAIRE,COUSSIN ET HOUSSE,HOUSSE DE COUSSIN,9576
1000011377,TELEPHONIE - GPS,SMARTPHONE - MOBILE,ACCESSOIRE - PIECE DETACHEE PDA,9552
1000003945,INFORMATIQUE,COMPOSANT - PIECE DETACHEE,MEMOIRE PC - PORTABLE,9450
1000013133,AUTO - MOTO,PNEUS,CHAINE NEIGE - CHAUSSETTE,9089
1000012983,DECO - LINGE - LUMINAIRE,DECORATION MURALE - TABLEAU - CADRE PHOTO - STICKER,CADRE PHOTO,9076
1000003713,ELECTROMENAGER,PREPARATION CULINAIRE,ACCESSOIRES PREPARATION CULINAIRE - PIECES PREPARATION CULINAIRE,9028
1000001763,DECO - LINGE - LUMINAIRE,LINGE DE TABLE - CUISINE,NAPPE DE TABLE,9018
1000002638,MEUBLE,SIEGE - ASSISE,CANAPE - SOFA - DIVAN,8888
1000010047,BAGAGERIE,MAROQUINERIE,BESACE - SAC REPORTER,8758
1000010132,BIJOUX -  LUNETTES - MONTRES,BIJOUX,PIERRE VENDUE SEULE,8757
1000018292,MUSIQUE,CD,CD MUSIQUE DE FILM - CD BO,8736
1000008558,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,ELECTRICITE - DOMOTIQUE,BATTERIE D'ALIMENTATION DOMOTIQUE,8668
1000008956,JEUX - JOUETS,CONSTRUCTION - MODELISME - MAQUETTE - MODELE REDUIT,VEHICULE A CONSTRUIRE - ENGIN TERRESTRE A CONSTRUIRE,8664
1000019766,TELEPHONIE - GPS,ACCESSOIRE TELEPHONE,BRASSARD DE MARCHE POUR TELEPHONE - BRASSARD DE COURSE POUR TELEPHONE,8597
1000004067,INFORMATIQUE,CONNECTIQUE - ALIMENTATION,CABLE D'ALIMENTATION,8568
1000018304,MUSIQUE,CD,CD VARIETE FRANCAISE,8548
1000008866,JEUX - JOUETS,JEUX DE SOCIETE,CARTE A COLLECTIONNER - PORTE-CARTE A COLLECTIONNER - CAHIER RANGE-CARTE - ACCESSOIRE CARTE A COLLECTIONNER,8460
1000008786,JEUX - JOUETS,DEGUISEMENT - SPECTACLE,MASQUE VISAGE - ACCESSOIRE DEGUISEMENT VISAGE,8271
1000010120,BIJOUX -  LUNETTES - MONTRES,BIJOUX,CHARM S,8191
1000008939,JEUX - JOUETS,MONDE MINIATURE,VEHICULE MINIATURE - ENGIN TERRESTRE MINIATURE,8104
1000013033,DECO - LINGE - LUMINAIRE,OBJET DE DECORATION - BIBELOT,STATUE - STATUETTE,8098
1000018178,DECO - LINGE - LUMINAIRE,LUMINAIRE D'INTERIEUR,PLAFONNIER,8094
1000005902,AUTO - MOTO,PIECES,JOINT DE CULASSE,8090
1000006137,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,GENIE THERMIQUE - CLIMATIQUE - CHAUFFAGE,PIECE DETACHEE GENIE THERMIQUE - PIECE DETACHEE CLIMATISATION,8032
1000003361,DECO - LINGE - LUMINAIRE,LINGE DE LIT,PARURE DE COUETTE,8000
1000011460,INFORMATIQUE,CLAVIER - SOURIS - WEBCAM,SOURIS,7873
1000004147,INFORMATIQUE,PROTECTION - PERSONNALISATION - SUPPORT,FILM DE PROTECTION,7836
1000001853,DECO - LINGE - LUMINAIRE,LUMINAIRE D'INTERIEUR,APPLIQUE D'INTERIEUR,7828
1000006016,AUTO - MOTO,PIECES,SILENCIEUX POUR POT - SILENCIEUX ARRIERE,7788
1000017057,TATOUAGE - PIERCING,BIJOU PIERCING,BARRE DROITE - BARRE DE SURFACE,7762
1000019516,MEUBLE,SIEGE - ASSISE,TABOURET DE BAR,7720
1000005714,AUTO - MOTO,PIECES,AMORTISSEUR -  KIT AMORTISSEMENT,7448
1000001743,DECO - LINGE - LUMINAIRE,LINGE DE LIT,TAIE OREILLER,7390
1000011448,INFORMATIQUE,CLAVIER - SOURIS - WEBCAM,CLAVIER D'ORDINATEUR,7370
1000002644,MEUBLE,SIEGE - ASSISE,FAUTEUIL,7348
1000001727,DECO - LINGE - LUMINAIRE,LINGE DE LIT,DRAP HOUSSE,7332
1000014561,LOISIRS CREATIFS - BEAUX ARTS - PAPETERIE,ECRITURE - CALLIGRAPHIE,STYLO - PARURE DE STYLO - RECHARGE,7310
1000005934,AUTO - MOTO,PIECES,LIGNE COMPLETE - LIGNE D'ECHAPPEMENT - POT D'ECHAPPEMENT,7304
1000014222,LIBRAIRIE,LOISIRS - JEUX - SPORT,JEUX - ACTIVITES,7302
1000018499,JEUX VIDEO,JEUX VIDEO,PC,7287
1000005842,AUTO - MOTO,PIECES,DEMARREUR,7258
1000012975,DECO - LINGE - LUMINAIRE,BOUGEOIR - PHOTOPHORE - BOUGIE - SENTEUR,BOUGIE (HORS ANNIVERSAIRE),7222
1000018229,DVD - BLU-RAY,BLU-RAY,BLU-RAY FILM,7212
1000014250,LIBRAIRIE,RELIGION- SPIRITUALITE,ESOTERISME- PARANORMAL,7121
1000001752,DECO - LINGE - LUMINAIRE,LINGE DE TOILETTE,SERVIETTE DE BAIN - DRAP DE BAIN,7116
1000002872,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,QUINCAILLERIE,VIS - CACHE-VIS - TIRE-FOND - GOUJON,7090
1000005800,AUTO - MOTO,PIECES,CARENAGE TETE DE FOURCHE - CACHES LATERAUX - OUIE DE RADIATEUR,7062
1000002250,ART DE LA TABLE - ARTICLES CULINAIRES,DECOUPE DES ALIMENTS,COUTEAU DE CUISINE,7033
1000006724,SPORT,PECHE,LEURRE DE PECHE,7009
1000012949,DECO - LINGE - LUMINAIRE,VASE - COUPE - FLEUR,FLEUR-PLANTE ARTIFICIELLE - FLEUR SECHEE,6979
1000008852,JEUX - JOUETS,JEUX DE SOCIETE,JEU DE SOCIETE - JEU DE PLATEAU,6971
1000005916,AUTO - MOTO,PIECES,KIT D'EMBRAYAGE,6835
1000016662,HYGIENE - BEAUTE - PARFUM,MAQUILLAGE VISAGE - CORPS,ROUGE A LEVRES,6787
1000010361,CHAUSSURES - ACCESSOIRES,CHAUSSURES DE VILLE,BALLERINE,6743
1000011473,INFORMATIQUE,ECRAN - ENCEINTE,ECRAN ORDINATEUR,6694
1000001844,DECO - LINGE - LUMINAIRE,ARTICLES - DECORATION DE FETE ,BALLON DECORATIF - POMPE POUR BALLON,6663
1000007118,SPORT,TEXTILE TECHNIQUE,MAILLOT - DEBARDEUR - POLO DE SPORT - TECHNIQUE,6660
1000018742,JEUX - JOUETS,CONSTRUCTION - MODELISME - MAQUETTE - MODELE REDUIT,JEU D'ASSEMBLAGE - JEU DE CONSTRUCTION - JEU DE MANIPULATION,6615
1000018150,DECO - LINGE - LUMINAIRE,DECORATION MURALE - TABLEAU - CADRE PHOTO - STICKER,DRAPEAU DECORATIF,6550
1000003246,MEUBLE,MEUBLE DE SEJOUR - ENTREE,TABLE BASSE,6544
1000010153,BIJOUX -  LUNETTES - MONTRES,LUNETTES,LUNETTES DE VUE - MONTURES DE VUE,6508
1000004313,HYGIENE - BEAUTE - PARFUM,MAQUILLAGE VISAGE - CORPS,PINCEAUX DE MAQUILLAGE - APPLICATEURS DE MAQUILLAGE,6440
1000002606,MEUBLE,MEUBLE DE SEJOUR - ENTREE,MEUBLE TV - MEUBLE HI-FI,6402
1000014215,LIBRAIRIE,LIVRE ENFANT - JEUNESSE,12 ANS - PLUS DE 12 ANS - ADOLESCENTS,6357
1000014206,LIBRAIRIE,LITTERATURE,POESIE,6309
1000014156,LIBRAIRIE,HISTOIRE - GEOGRAPHIE,SCIENCES HISTORIQUES,6275
1000005878,AUTO - MOTO,PIECES,FILTRE A HUILE,6248
1000015774,LITERIE,LIT,ENSEMBLE SOMMIER MATELAS,6240
1000014226,LIBRAIRIE,LOISIRS - JEUX - SPORT,SPORT,6234
1000020863,DROGUERIE,PILES,PILES,6216
1000005473,AUTO - MOTO,CONFORT CONDUCTEUR ET PASSAGER,BULLE - PARE-BRISE - SAUTE-VENT,6196
1000005760,AUTO - MOTO,PIECES,BOUGIE AUTOMOBILE,6172
1000009088,AUTO - MOTO,PIECES,AMPOULE - ECLAIRAGE TABLEAU DE BORD,6131
1000022508,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,SANITAIRE - PLOMBERIE,MANCHON - RACCORD - COUDE,6108
1000014102,LIBRAIRIE,DROIT,DROIT PUBLIC,6108
1000001725,DECO - LINGE - LUMINAIRE,LINGE DE LIT,COUVERTURE - EDREDON - PLAID,6103
1000010383,CHAUSSURES - ACCESSOIRES,CHAUSSURES DE VILLE,MOCASSIN,6008
1000015613,AUTO - MOTO,PIECES,KIT DE VISSERIE,5998
1000003956,HYGIENE - BEAUTE - PARFUM,CAPILLAIRE,BANDEAU - SERRE-TETE - HEADBAND,5992
1000010067,BAGAGERIE,MAROQUINERIE,SACOCHE,5992
1000017945,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,OUTIL A MAIN,TOURNEVIS,5969
1000016748,HYGIENE - BEAUTE - PARFUM,NAIL ART,STICKERS - AUTOCOLLANT - STRASS - PAILLETTES - FOILS - PAPIER METALISE - TATOUAGE - POCHOIR,5932
1000014115,LIBRAIRIE,ENSEIGNEMENT,PEDAGOGIE,5920
1000014038,LIBRAIRIE,ARTS - CINEMA - MUSIQUE,MUSIQUE,5868
1000014285,LIBRAIRIE,SCIENCES HUMAINES,PSYCHOLOGIE ,5858
1000018386,JEUX VIDEO,ACCESSOIRES CONSOLE - JEUX,STICKER - SKIN CONSOLE - MANETTE,5858
1000003228,DECO - LINGE - LUMINAIRE,LUMINAIRE D'INTERIEUR,SPOTS - LIGNE DE SPOTS,5839
1000018282,MUSIQUE,CD,CD COMPTINES - CD ENFANTS,5825
1000014243,LIBRAIRIE,POLITIQUE - ECONOMIE,ECONOMIE,5824
1000014213,LIBRAIRIE,LIVRE ENFANT - JEUNESSE,0-3 ANS - EVEIL,5776
1000015468,DECO - LINGE - LUMINAIRE,ARTICLES - DECORATION DE FETE ,DECORS DE TABLE - PETITS OBJETS DECORATIFS,5768
1000006010,AUTO - MOTO,PIECES,ROULEMENT DE ROUE - CAGE DE ROUE,5764
1000005890,AUTO - MOTO,PIECES,GALET TENDEUR - TENDEUR DE COURROIE - POULIE DAMPER,5712
1000017901,BRICOLAGE - OUTILLAGE - QUINCAILLERIE,SANITAIRE - PLOMBERIE,ROBINETTERIE DE SALLE DE BAIN,5692
1000010082,BAGAGERIE,PETITE MAROQUINERIE,PORTE MONNAIE,5628
